company,ticker,relation_type,counterparty_name,counterparty_type,tier,category,component_or_product,region,relationship_strength,est_contract_value_usd_m,start_year,notes,is_dummy
Apple Inc.,AAPL,Supplier,DHL,Company,T1,Logistics,Global logistics,EU,3,1000,2018,DHL supplies Global logistics to Apple Inc.,True
Apple Inc.,AAPL,Supplier,Samsung Foundry,Company,T1,Foundry,Chip fab capacity,APAC,5,500,2015,Samsung Foundry supplies Chip fab capacity to Apple Inc.,True
Apple Inc.,AAPL,Supplier,TSMC,Company,T1,Foundry,Advanced wafers,APAC,5,5000,2015,TSMC supplies Advanced wafers to Apple Inc.,True
Apple Inc.,AAPL,Supplier,ASML,Company,T2,Equipment,Lithography machines,EU,3,500,2018,ASML supplies Lithography machines to Apple Inc.,True
Apple Inc.,AAPL,Customer,Enterprise (US),Segment,,B2B,Enterprise buyers,US,5,1000,2024,Apple Inc. sells Enterprise buyers to Enterprise (US),True
Apple Inc.,AAPL,Customer,Automotive OEMs,Segment,,B2B,Car makers,Global,3,5000,2021,Apple Inc. sells Car makers to Automotive OEMs,True
Apple Inc.,AAPL,Customer,Microsoft,Company,,Cloud,GPU clusters / enterprise software,Global,3,1000,2024,Apple Inc. sells GPU clusters / enterprise software to Microsoft,True
Microsoft,MSFT,Supplier,Foxconn,Company,T1,EMS,Assembly partner,APAC,4,500,2015,Foxconn supplies Assembly partner to Microsoft,True
Microsoft,MSFT,Supplier,ASML,Company,T2,Equipment,Lithography machines,EU,4,500,2020,ASML supplies Lithography machines to Microsoft,True
Microsoft,MSFT,Supplier,Micron,Company,T1,Memory,DRAM/NAND modules,US,4,2500,2015,Micron supplies DRAM/NAND modules to Microsoft,True
Microsoft,MSFT,Supplier,SK hynix,Company,T1,Memory,HBM/DRAM,APAC,5,5000,2015,SK hynix supplies HBM/DRAM to Microsoft,True
Microsoft,MSFT,Customer,Financial Services (US),Segment,,B2B,Banking / fintech,US,5,2500,2019,Microsoft sells Banking / fintech to Financial Services (US),True
Microsoft,MSFT,Customer,Amazon Web Services,Company,,Cloud,Cloud consumption / GPU instances,Global,5,500,2016,Microsoft sells Cloud consumption / GPU instances to Amazon Web Services,True
Microsoft,MSFT,Customer,Enterprise (Global),Segment,,B2B,Enterprise buyers,Global,5,1000,2021,Microsoft sells Enterprise buyers to Enterprise (Global),True
Alphabet (Google),GOOGL,Supplier,Samsung Foundry,Company,T1,Foundry,Chip fab capacity,APAC,4,5000,2020,Samsung Foundry supplies Chip fab capacity to Alphabet (Google),True
Alphabet (Google),GOOGL,Supplier,SK hynix,Company,T1,Memory,HBM/DRAM,APAC,3,2500,2020,SK hynix supplies HBM/DRAM to Alphabet (Google),True
Alphabet (Google),GOOGL,Supplier,Seagate,Company,T1,Storage,Enterprise HDD/SSD,US,3,2500,2015,Seagate supplies Enterprise HDD/SSD to Alphabet (Google),True
Alphabet (Google),GOOGL,Supplier,Pegatron,Company,T1,EMS,Assembly partner,APAC,5,1000,2018,Pegatron supplies Assembly partner to Alphabet (Google),True
Alphabet (Google),GOOGL,Customer,Google Cloud,Company,,Cloud,Cloud consumption,Global,4,1000,2021,Alphabet (Google) sells Cloud consumption to Google Cloud,True
Alphabet (Google),GOOGL,Customer,Healthcare Providers,Segment,,B2B,Hospitals/clinics,US,3,1000,2016,Alphabet (Google) sells Hospitals/clinics to Healthcare Providers,True
Alphabet (Google),GOOGL,Customer,Financial Services (US),Segment,,B2B,Banking / fintech,US,4,5000,2021,Alphabet (Google) sells Banking / fintech to Financial Services (US),True
Amazon,AMZN,Supplier,Samsung Foundry,Company,T1,Foundry,Chip fab capacity,APAC,3,5000,2023,Samsung Foundry supplies Chip fab capacity to Amazon,True
Amazon,AMZN,Supplier,SK hynix,Company,T1,Memory,HBM/DRAM,APAC,5,5000,2018,SK hynix supplies HBM/DRAM to Amazon,True
Amazon,AMZN,Supplier,UPS,Company,T1,Logistics,Logistics & delivery,US,4,1000,2018,UPS supplies Logistics & delivery to Amazon,True
